date,conversation_id,kor_sent,eng_sent,qna_id
20180101,4,커피숍에서 책을 읽어요.,I usually read books at coffee shops.,
20180102,1,우빈 씨는 무슨 영화를 좋아해요?,"Mr. Woobin, what movies do you like?",
20180102,2,저는 공포 영화를 좋아해요.,I like horror movies.,
20180102,3,코미디 영화는 어때요?,How about comedies?,
20180102,4,그것도 좋아해요.,"I like them, too.",
20180103,1,유양 씨는 무엇을 배우고 싶어요?,"Ms. Yooyang, what you do want to learn?",
20180103,2,저는 운동을 배우고 싶어요.,I want to learn sports.,
20180103,3,무슨 운동을 배우고 싶어요?,What sports do you want to learn?,
20180103,4,테니스를 배우고 싶어요.,I want to learn tennis.,
20180104,1,이 근처에 테니스장이 있어요?,Is there a tennis court near here?,
20180104,2,"네, 있어요. 왜요?","Yes, there is. Why?",
20180104,3,유양 씨가 테니스를 배우고 싶어 해요.,Ms. Yooyang wants to learn tennis.,
20180104,4,학교 옆에 테니스장이 있어요.,There is a tennis court next to the school.,
20180105,1,유양 씨는 여행을 자주 해요?,"Ms. Yooyang, do you travel often?",
20180105,2,"아니요, 여행을 자주 하지 않아요.","No, I don't travel often.",
20180105,3,왜 자주 하지 않아요?,Why don't you travel often?,
20180105,4,시간이 없어요.,Because I don’t have much time.,
20180106,1,집에서 보통 무엇을 해요?,What do you usually do at home?,
20180106,2,저는 음악을 자주 들어요.,I often listen to music.,
20180106,3,클래식 음악도 들어요?,Do you also listen to classical music?,
20180106,4,"아니요, 저는 클래식 음악을 안 좋아해요. 그래서 자주 안 들어요.","No, I don't like classical music. So I don't listen to it often.",
20180108,1,지금 몇 시예요?,What time it is now?,
20180108,2,오전 열 시 삼십 분이에요.,It's 10:30 am.,
20180108,3,점심시간은 언제예요?,When is your lunch time?,
20180108,4,열두 시예요.,It's at twelve.,
20180109,1,저녁에 무엇을 해요?,What do you do in the evening?,
20180109,2,식사를 해요. 그리고 TV를 봐요.,I eat dinner and watch TV.,
20180109,3,보통 몇 시에 자요?,What time do you usually go to bed?,
20180109,4,시에 자요.,I go to bed at eleven.,
20180110,1,어디에 가요?,Where are you going?,
20180110,2,수영장에 가요.,I am going to the swimming pool.,
20180110,3,날마다 수영을 해요?,Do you swim everyday?,
20180110,4,"네, 날마다 수영을 해요.","Yes, I swim everday.",
20180111,1,내일 학교에 가요?,Are you going to school tomorrow?,
20180111,2,"네, 가요. 9시부터 수업이 있어요.","Yes, I am. I have a class starting from nine.",
20180111,3,무슨 수업이 있어요?,What class do you have?,
20180111,4,전공 수업이 있어요.,I have a a major-related class.,
20180112,1,오늘은 몇 시까지 수업이 있어요?,Until when do you have classes today?,
20180112,2,오후 4시까지 수업이 있어요.,I have classes until 4:00 pm.,
20180112,3,저녁에는 무엇을 해요?,What do you do in the evening?,
20180112,4,아르바이트를 해요.,I have a part-time job.,
20180113,1,회사가 어디에 있어요?,Where is your company?,
20180113,2,시내에 있어요. 광화문 역에서 가까워요.,It's downtown. It is near Gwanghwamun Station.,
20180113,3,몇 시까지 출근해요?,By what time do you go to work?,
20180113,4,오전 8시 30분까지 출근해요.,I go to work by 8:30 am.,
20180115,1,벌써 7시예요. 약속이 있어요?,It's already 7:00. Do you have an appointment?,
20180115,2,"아니요, 약속이 없어요.","No, I don't have an appointment.",
20180115,3,그럼 회사 앞에서 같이 저녁을 먹을까요?,"Then, shall we have dinner together near our office?",
20180115,4,"네, 좋아요.","Yes, that sounds good.",
20180116,1,어디에서 식사를 할까요?,Where shall we eat?,
20180116,2,지하철역 앞에 분식집이 있어요. 거기는 어때요?,"There is a fast, casual Korean restaurant near the subway station. How about that place?",
20180116,3,좋아요. 무엇을 먹을까요?,That sounds good. What shall we eat?,
20180116,4,김밥하고 라면을 먹고 싶어요.,I'd like to have kimbap and ramen.,
20180117,1,점심에 무엇을 먹을까요?,What shall we eat for lunch?,
20180117,2,오랜만에 중국 음식을 먹읍시다.,Let's eat Chinese food. It's been a while since we ate Chinese.,
20180117,3,볶음밥을 먹을까요?,Shall we eat fried rice?,
20180117,4,저는 탕수육을 먹고 싶어요. 탕수육하고 볶음밥을 먹읍시다.,I'd like to have tangsuyuk (sweet and sour pork). Let's eat tangsuyuk and fried rice.,
20180118,1,이 식당은 무엇이 맛있어요?,What tastes good in this restaurant?,
20180118,2,돼지갈비랑 냉면이 맛있어요.,Dwaejigalbi and naengmyun are good.,
20180118,3,그럼 그걸 먹읍시다.,"Then, let's have them.",
20180118,4,목이 말라요. 음료수도 시킵시다.,I'm thirsty. Let's order some drinks.,
20180119,1,여기요.,Excuse me.,
20180119,2,"네, 손님. 뭘 드릴까요?","Yes, what would you like?",
20180119,3,여기 돼지갈비 2인분하고 냉면 주세요.,Please give us two orders of dwaejibalbi and one naengmyun.,
20180119,4,"네, 잠시만 기다리세요.","Yes, wait a minute please.",
20180120,1,오늘은 초밥을 먹을까요?,Shall we eat sushi today?,
20180120,2,저는 생선을 안 좋아해요.,I don't like fish.,
20180120,3,그럼 돈가스나 치킨을 먹을까요?,"Then, shall we eat pork cutlet or chicken?",
20180120,4,좋아요. 오랜만에 치킨을 먹읍시다.,"Good, let's have chicken. It's been a while since we ate chicken.",
20180122,1,집에서 회사까지 얼마나 걸려요?,How long does it take from your house to your company?,
20180122,2,분쯤 걸려요.,It takes about 50 minutes.,
20180122,3,지하철을 타요?,Do you take the subway?,
20180122,4,"아니요, 버스를 타요.","No, I take the bus.",
20180123,1,택시에서) 서울역으로 갑시다. 얼마나 걸려요?,(Inside a taxi) Let's go to Seoul Station. How long will it take?,
20180123,2,분쯤 걸려요.,It will take about 30 minutes.,
20180123,3,그렇게 많이 걸려요?,Will it take that long?,
20180123,4,"네, 지금 길이 많이 막혀요.","Yes, the roads are heavily jammed now.",
20180124,1,서두릅시다. 시간이 별로 없어요.,Let's hurry. We don't have much time.,
20180124,2,택시로 갈까요?,Shall we take a taxi?,
20180124,3,지금은 교통이 복잡해요. 지하철로 갑시다.,"Now, the traffic is heavy. Let’s take the subway.",
20180124,4,그럽시다.,"Yes, let's do that.",
20180125,1,운전을 해요?,Do you drive?,
20180125,2,"아니요, 저는 운전을 하지 못해요.","No, I cannot drive.",
20180125,3,그럼 어떻게 회사에 가요?,"Then, how do you go to your company?",
20180125,4,지하철로 가요.,I take the subway.,
20180126,1,공항까지 버스로 갈까요?,Shall we take the bus to the airport?,
20180126,2,"아니요, 버스로 가지 맙시다.","No, let's not take the bus.",
20180126,3,그럼 어떻게 갈까요?,"Then, how shall we get there?",
20180126,4,서울역에서 공항철도를 탑시다. 더 빨라요.,Let’s take the airport train at Seoul Station. It is faster.,
20180127,1,시 10분 부산행 기차표 주세요.,Please give me a train ticket departing for Busan at 1:10.,
20180127,2,몇 장 드릴까요?,How many tickets do you need?,
20180127,3,어른 표 1장과 어린이 표 1장 주세요.,"One adult ticket and one child ticket, please.",
20180127,4,잠시만 기다리세요.,Please wait a minute.,
20180129,1,다음 주 토요일이 제 생일이에요. 그래서 토요일 저녁에 파티를 해요. 모두 오세요.,"Next Saturday is my birthday. So I am throwing a party on Saturday evening. Everybody, please come.",
20180129,2,축하해요. 무슨 선물을 받고 싶어요?,Congratulations. What kind of present would you like to get?,
20180129,3,그냥 오세요. 흐엉 씨도 꼭 오세요.,"Just come. Ms. Huong, you should come, too.",
20180129,4,미안해요. 저는 파티에 못 가요. 선약이 있어요.,"Sorry, I cannot go to the party. I have an appointment.",
20180130,1,어디에 가요?,Where are you going?,
20180130,2,빵집에 케이크를 사러 가요.,I am going to the bakery to buy a cake.,
20180130,3,누구 생일이에요?,Whose birthday is it?,
20180130,4,오늘이 할머니 생신이에요. 그래서 파티를 해요.,"Today is my grandmother's birthday, so we are throwing a party.",
20180131,1,다음 주말에 우리 집에서 송년회를 해요. 꼭 오세요.,We are having a year-end party next weekend. You should come.,
20180131,2,그럼 제가 과일과 음료수를 살까요?,"Then, shall I buy some fruit and drinks?",
20180131,3,"네, 고마워요.","Yes, thank you.",
20180131,4,그럼 다음 주에 만납시다.,See you next week.,
20180201,1,내일 스티브 씨 송별회가 있어요.,"Tomorrow, we have a farewell party for Mr. Steve.",
20180201,2,송별회가 몇 시예요?,When is the farewell party?,
20180201,3,오후 7시예요. 잊지 마세요.,It's 7:00 pm. Don't forget.,
20180201,4,"네, 내일 만납시다.","Yes, see you tomorrow.",
20180202,1,여기에 앉으세요.,Please sit here.,
20180202,2,"네, 생일 축하해요. 이거 받으세요.",OK. Happy birthday. Please accept this.,
20180202,3,이거 뭐예요?,What is this?,
20180202,4,제 선물입니다. 향수입니다.,It's a gift from me. It's perfume.,
20180203,1,유양 씨 생일 파티가 오늘입니까?,Is Ms. Yooyang's birthday party today?,
20180203,2,"아니요, 파티는 오늘이 아니에요. 내일이에요.","No, the party is not today. It's tomorrow.",
20180203,3,"아, 맞아요. 그런데 선물은 뭘 살까요?","Oh, yes. Then what should we buy as a birthday gift?",
20180203,4,유양 씨가 책을 좋아해요. 책을 삽시다.,Ms. Yooyang likes books. Let's buy a book.,
20180205,1,그거 홍차예요?,Is that black tea?,
20180205,2,"아니요, 홍차가 아닙니다. 커피입니다.","No, it's not black tea. It's coffee.",
20180205,3,다른 차는 없어요? 저는 커피를 안 마셔요.,Do you have other kinds of tea? I don't drink coffee.,
20180205,4,녹차가 있어요.,We have green tea.,
20180206,1,배가 고픕니다. 빨리 주문합시다.,I'm hungry. Let's order quickly.,
20180206,2,그럽시다. 뭘 먹을까요?,OK. What shall we eat?,
20180206,3,저는 피자를 먹고 싶습니다.,I'd like to have pizza.,
20180206,4,그럼 피자를 먹읍시다. 콜라도 시킵시다.,"Then, let's have pizza. Let's order coke, too.",
20180207,1,날씨가 아주 춥습니다.,The weather is very cold.,
20180207,2,그럼 우리 저기에서 어묵을 먹을까요? 저는 어묵을 좋아해요.,"Then, shall we eat eomuk (fish cake) over there? I like eomuk.",
20180207,3,그럽시다. (잠시 후) 맛이 어떻습니까?,"Yes, let's do that. (After a while) How does it taste?",
20180207,4,맛있어요. 그리고 국물이 아주 따뜻해요.,It tastes good. And the soup is very warm.,
20180208,1,무슨 음식을 좋아해요?,What kind of food do you like?,
20180208,2,저는 고기를 좋아합니다. 그래서 자주 먹습니다.,I like meat. So I eat meat often.,
20180208,3,생선도 자주 먹습니까?,Do you eat fish often?,
20180208,4,"아니요, 생선은 자주 먹지 않습니다. 생선을 안 좋아합니다.","No, I don't eat fish often. I don't like fish.",
20180209,1,집에서 무슨 음식을 자주 먹어요?,What kind of food do you eat often at home?,
20180209,2,보통 한식을 먹습니다. 그리고 주말에는 짜장면을 자주 먹습니다.,We usually eat Korean food. And we often eat jajangmyun on weekends.,
20180209,3,그래요? 왜요?,Do you? Why?,
20180209,4,저희 아버지께서 짜장면을 좋아하십니다.,My father likes jajangmyun.,
20180210,1,차 한 잔 드릴까요?,Would you like to have a cup of tea?,
20180210,2,"네, 주세요. 고맙습니다.","Yes, please. Thank you.",
20180210,3,무슨 차를 좋아하십니까?,What kind of tea do you like?,
20180210,4,저는 녹차를 좋아합니다.,I like green tea.,
20180212,1,"부장님, 회의를 언제 할까요?","Bujangnim (a senior manager), when shall we schedule a meeting?",
20180212,2,목요일에 합시다.,Let's meet on Thursday.,
20180212,3,제가 회의 자료를 준비할까요?,Do you want me to prepare the material for the meeting?,
20180212,4,"네, 우빈 씨가 자료를 준비하십시오.","Yes. Mr. Woobin, please prepare the material.",
20180213,1,오늘 회의는 2시입니다. 늦지 마세요.,Today's meeting is at two o'clock. Don't be late.,
20180213,2,회의에서 김 부장님께서 발표하십니까?,Is Kim Bujangnim going to make a presentation at the meeting?,
20180213,3,"네, 김 부장님께서 발표하십니다.","Yes, he is going to make a presentation.",
20180213,4,"네, 알겠습니다.","Yes, I got it.",
20180214,1,회의 자료를 다 만들었습니까?,Have you finished preparing the material for the meeting?,
20180214,2,"네, 다 만들었습니다.","Yes, I have finisehd preparing the material.",
20180214,3,복사도 했습니까?,Have you made copies?,
20180214,4,"네, 벌써 다 했습니다.","Yes, I have.",
20180215,1,신제품 디자인이 아주 좋습니다.,The design of the new product is very good.,
20180215,2,감사합니다. 저희 팀원들과 같이 디자인을 했습니다.,Thank you. I designed it together with my team members.,
20180215,3,수고했습니다. 오늘 점심 식사는 모두 같이 합시다.,Good job. Let's all have lunch together.,
20180215,4,"네, 알겠습니다.","Yes, I got it.",
20180216,1,행사 준비는 잘됩니까?,Is the preparation for the event going well?,
20180216,2,"네, 거의 다 끝났습니다.","Yes, it is almost done.",
20180216,3,식당 예약도 했습니까?,Have you made a reservation at a restaurant?,
20180216,4,"아니요, 아직 하지 못했습니다. 제가 이따가 예약하겠습니다.",Not yet. I will make a reservation later.,
20180217,1,이번 발표가 아주 중요합니다. 누가 발표를 하시겠어요?,The upcoming presentation is very important. Who will do it?,
20180217,2,제가 하겠습니다.,I will.,
20180217,3,좋습니다. 그럼 발표 자료는 누가 만들겠습니까?,Good. Then who is going to make the presentation material?,
20180217,4,제가 팀원들과 같이 만들겠습니다.,I will make it with my team members.,
20180219,1,무엇을 찾으세요?,What are you looking for?,
20180219,2,여자 친구에게 향수를 선물하고 싶어요.,I would like to buy my girlfriend perfume as a gift.,
20180219,3,여자 친구분이 무슨 향을 좋아하세요?,What fragrance does your girlfriend like?,
20180219,4,장미 향을 좋아해요.,She likes rose frangrance.,
20180220,1,이 립스틱 색이 참 예뻐요.,This lipstick has a pretty color.,
20180220,2,"네, 요즘 이 색이 유행이에요.","Yes, this color is popular these days.",
20180220,3,그럼 저도 이 립스틱 한 개 주세요. 어머니께 드리고 싶어요.,"Then, let me have one of these. I want to get one for my mother.",
20180220,4,여기 있습니다.,Here you are.,
20180221,1,꽃이 참 예뻐요.,The flowers are very pretty.,
20180221,2,어제 친구에게서 받았어요. 어제가 제 생일이었어요.,I received them from my friend yesterday. Yesterday was my birthday.,
20180221,3,그래요? 선물을 많이 받았어요?,Was it? Did you receive many gifts?,
20180221,4,"네, 많이 받았어요.","Yes, I did.",
20180222,1,"어머, 시계 새로 샀어요?","Wow, did you buy a new watch?",
20180222,2,"아니요, 할머니께 입학 선물을 받았어요.","No, my grandmother gave it to me as a gift to celebrate my acceptance to the school.",
20180222,3,잘 어울려요.,It looks good on you.,
20180222,4,고마워요. 저도 마음에 들어요.,"Thank you. I like it, too.",
20180223,1,이 소포들은 다 뭐예요?,What are these parcels?,
20180223,2,고향 음식들이에요. 고향에서 왔어요.,They are food from my hometown.,
20180223,3,누가 보냈어요?,Who sent them to you?,
20180223,4,누나가 보냈어요.,My elder sister sent them to me.,
20180224,1,만년필을 쓰세요?,Do you use a fountain pen?,
20180224,2,저도 처음 써요.,This is my first time using it.,
20180224,3,선물 받았어요?,Did you receive it as a gift?,
20180224,4,"네, 아버지께서 주셨어요. 대학교 졸업 선물이에요.","Yes, my father gave it to me. It is a gift for my college graduation.",
20180226,1,오랜만에 한강에 왔어요.,It's been a while since I came to the Han River last time.,
20180226,2,그래요? 저는 한강에 자주 와요. 한강에서 자전거를 타요.,Is that so? I come to the Han River often. I ride a bike along the Han River.,
20180226,3,저도 자전거를 타고 싶어요.,"I want to ride a bike, too.",
20180226,4,그럼 자전거를 탑시다. 저쪽에 자전거를 빌리는 곳이 있어요.,"Then, let's ride a bike. There is a bike rental shop over there.",
20180227,1,날씨가 정말 좋습니다.,The weather is really nice.,
20180227,2,우리 한강에 갈까요?,Shall we go to the Han River?,
20180227,3,좋아요.,It sounds good.,
20180227,4,한강에 예쁜 꽃이 피었어요. 꽃구경을 합시다.,Beautiful flowers bloom in the Han River. Let's look around them.,
20180228,1,이것은 무슨 표입니까?,What is this ticket for?,
20180228,2,오늘 저녁에 탈 유람선 표예요.,It's the ferry ticket for tonight.,
20180228,3,유람선요? 기대가 돼요.,Ferry? I'm looking forward to it.,
20180228,4,저도 기대가 많이 돼요.,"I'm looking forward to it, too.",
20180301,1,어제 유람선에서 본 야경이 참 아름다웠어요.,The night view I saw on the ferry yesterday was very beautiful.,
20180301,2,저도 어제 본 야경이 계속 생각나요.,I keep thinking about the night view I saw yesterday.,
20180301,3,다음에 또 야경을 보러 갑시다.,Let's go and see the night view again.,
20180301,4,그럽시다.,"Yes, let's do that.",
20180302,1,오늘 한강에 사람이 정말 많군요.,There are a lot of people at the Han River today.,
20180302,2,오늘 한강에서 행사를 합니다.,We have an event on the Han River.,
20180302,3,그래요? 무슨 행사를 합니까?,Do you? What kind of event is it?,
20180302,4,밤에 불꽃 축제를 합니다.,We'll have a fireworks festival at night.,
20180303,1,오늘 치킨이 정말 맛있습니다.,The chicken tastes really good today.,
20180303,2,한강에서 먹는 치킨은 언제나 맛있어요.,The chicken we eat at the Han River always tastes.,
20180303,3,콜라 한 잔 드릴까요?,Would you like to have a glass of coke?,
20180303,4,"아니요, 저는 주스를 마시겠어요. 저는 콜라보다 주스를 더 좋아해요.","No, thank you. I'd like to drink juice. I like juice more than coke.",
20180305,1,이번 주말에 뭘 할 거예요?,What are you going to do this weekend?,
20180305,2,집들이를 할 거예요.,I'm going to have a housewarming party.,
20180305,3,집들이요?,A housewarming party?,
20180305,4,얼마 전에 이사했어요. 그래서 친구들을 집에 초대할 거예요.,Recently I have moved to a new place. So I'm going to invite my friends over to my house.,
20180306,1,집 정리는 다 했어요?,Have you finished organizing your house?,
20180306,2,"네, 다 했어요. 이번 주 토요일에 집들이를 할 거예요. 우빈 씨도 오세요.","Yes, I have. I'm going to have a housewarming party this Saturday. Woobin, please come.",
20180306,3,"네, 꼭 갈게요. 필요한 물건은 없어요?","Yes, I will definitely come. Is there anything that you need?",
20180306,4,"네, 필요한 것은 없어요. 그냥 오세요.","No, there is nothing that I need. Just come.",
20180307,1,이번 주말에 집들이를 할 거예요. 무슨 음식을 준비할까요?,I'm going to have a housewarming party this weekend. What dishes should I prepare?,
20180307,2,닭갈비가 어때요?,How about dakgalbi (spicy grilled chicken)?,
20180307,3,저는 매운 음식을 좋아하지만 친구들은 매운 음식을 잘 못 먹어요.,I like spicy food but my friends don't.,
20180307,4,그럼 불고기를 준비하세요.,"Then, prepare some bulgogi.",
20180308,1,친구 집들이에 초대를 받았어요. 무슨 선물을 살까요?,I have been invited to my friend's housewarming party. What present should I buy?,
20180308,2,한국에서는 보통 세제나 휴지를 선물해요.,"In Korea, we usually buy detergent or toilet paper.",
20180308,3,그래요? 그럼 저도 세제나 휴지를 사겠어요.,"Is it so? Then, I will buy detergent or toilet paper, too.",
20180308,4,아마 친구도 그 선물을 좋아할 거예요.,"Maybe, your friend will like it.",
20180309,1,오늘 집들이에 초대한 친구들이 다 올까요?,Will all of my friends that I invited come to the housewarming party today?,
20180309,2,다 올 거예요.,"Yes, all of them will come.",
20180309,3,준비한 음식이 부족하지 않을까요?,Isn't' the food that I prepared going to be insufficient?,
20180309,4,아마 충분할 거예요.,"Maybe, it's going to be sufficient.",
20180310,1,어제 집들이 재미있었어요?,Was the housewarming party fun yesterday?,
20180310,2,"네, 친구 집도 구경하고 맛있는 음식도 먹었어요.","Yes, it was. I looked around my friend's house and ate tasty food.",
20180310,3,집은 어땠어요?,How was the house?,
20180310,4,집이 깨끗하고 밝았어요.,The house was clean and bright.,
20180312,1,유학 생활은 어때요?,How is your life as a foreign student?,
20180312,2,혼자 살아서 좀 외로워요.,I feel a bit lonely as I live alone.,
20180312,3,고향에서는 가족들과 같이 살았어요?,Did you live with your family in your hometown?,
20180312,4,"네, 고향에서는 가족들과 살아서 외롭지 않았어요.",Yes. I didn't feel lonely as I lived with my family in my hometown.,
20180313,1,내일 한국어 수업이 끝나고 같이 점심 먹읍시다.,Let's have lunch together tomorrow after Korean class.,
20180313,2,미안해요. 저는 수업이 끝나고 아르바이트를 해요. 그래서 못 먹어요.,Sorry. I have a part-time job after class. So I can't have lunch together with you.,
20180313,3,날마다 아르바이트를 해요?,Do you work part-time everyday?,
20180313,4,"아니요, 주말에는 쉬어요.","No, I don't work on weekends.",
20180314,1,이사할 집은 구했어요?,Have you found a new place to move in?,
20180314,2,"네, 구했어요. 학교 근처예요.","Yes, I have. It's near our school.",
20180314,3,우리 학교 근처는 집값이 비싸지 않아요?,Isn't a house near our school expensive?,
20180314,4,조금 비싸지만 집이 깨끗해서 마음에 들어요.,"It's a bit expensive, but I like it becase it's clean.",
20180315,1,한국어 시험 공부 많이 했어요?,Have you studied hard for the Korean language exam?,
20180315,2,"아니요, 많이 못 했어요.","No, I haven't studied much.",
20180315,3,그럼 이번 주말에 만나서 같이 공부해요.,"Then, let's meet this weekend to study together.",
20180315,4,좋아요. 학교 근처 카페에서 공부합시다.,OK. Let's study at a café near the school.,
20180316,1,언제 고향에 돌아갈 거예요?,When are you going back to your hometown?,
20180316,2,일주일 후에 갈 거예요.,I'm going back in a week.,
20180316,3,짐은 다 쌌어요?,Have you packed?,
20180316,4,"아니요, 아직 다 못 쌌어요.","No, I haven't packed yet.",
20180317,1,졸업한 후에 뭘 할 거예요?,What are you going to do after graduation?,
20180317,2,글쎄요. 유양 씨는요?,"Well, I don't know yet. How about you, Ms. Yooyang?",
20180317,3,저는 여행을 한 후에 고향에 돌아갈 거예요.,I'm going back to my hometown after I travel around.,
20180317,4,저는 한국에서 대학원에 다니고 싶어요.,I want to study at a graduate school in Korea.,
